Word,BSL Rank,Band,SFI,U,,,,,,581.3333333
amid,634,2,52.58,18.13,,,,,,
generic,635,2,53.39,21.8,,,,,,
bold,636,2,53.09,20.39,,,,,,
questionnaire,637,2,53.05,20.17,,,,,,
shipment,638,2,53.37,21.75,,,,,,
straightforward,639,2,53.54,22.61,,,,,,
handful,640,2,52.9,19.51,,,,,,
loyal,641,2,53.41,21.95,,,,,,
layout,642,2,53.05,20.2,,,,,,
unchanged,643,2,53.56,22.71,,,,,,
queue,644,2,53.34,21.55,,,,,,
bidder,645,2,53.38,21.78,,,,,,
respective,646,2,53.26,21.17,,,,,,
deliverable,647,2,51.64,14.58,,,,,,
textbook,648,2,53.09,20.36,,,,,,
depict,649,2,53.4,21.85,,,,,,
odds,650,2,53.39,21.81,,,,,,
subscriber,651,2,53.36,21.66,,,,,,
lifetime,652,2,53.51,22.44,,,,,,
allegation,653,2,52.7,18.64,,,,,,
redemption,654,2,53.01,19.98,,,,,,
downward,655,2,53.32,21.48,,,,,,
grid,656,2,53.47,22.26,,,,,,
newsletter,657,2,53.31,21.43,,,,,,
meaningful,658,2,53.1,20.43,,,,,,
depreciate,659,2,52.77,18.93,,,,,,
interface,660,2,53.26,21.17,,,,,,
digit,661,2,53.18,20.79,,,,,,
convenient,662,2,53.43,22.01,,,,,,
jet,663,2,53.07,20.28,,,,,,
hybrid,664,2,53.24,21.07,,,,,,
foster,665,2,53.4,21.89,,,,,,
provoke,666,2,52.5,17.79,,,,,,
inevitably,667,2,53.04,20.11,,,,,,
shopper,668,2,53.36,21.68,,,,,,
dilemma,669,2,53.3,21.38,,,,,,
invention,670,2,53.43,22.02,,,,,,
info,671,2,50.51,11.25,,,,,,
calendar,672,2,53,19.95,,,,,,
secular,673,2,51.91,15.52,,,,,,
cease,674,2,53.37,21.71,,,,,,
distress,675,2,53.36,21.66,,,,,,
withhold,676,2,53.35,21.62,,,,,,
sterling,677,2,51.74,14.94,,,,,,
legacy,678,2,52.83,19.2,,,,,,
thrive,679,2,53.05,20.18,,,,,,
autonomy,680,2,53.16,20.72,,,,,,
commander,681,2,51.55,14.28,,,,,,
toll,682,2,53.1,20.4,,,,,,
accountability,683,2,53.35,21.64,,,,,,
incorporation,684,2,52.3,16.97,,,,,,
equip,685,2,53.3,21.4,,,,,,
batch,686,2,53.2,20.89,,,,,,
essence,687,2,53.42,21.98,,,,,,
prescription,688,2,53.08,20.31,,,,,,
convenience,689,2,53.27,21.23,,,,,,
termination,690,2,52.71,18.67,,,,,,
invasion,691,2,52.31,17.03,,,,,,
bondholder,692,2,52.77,18.91,,,,,,
unveil,693,2,52.46,17.63,,,,,,
intrinsic,694,2,52.43,17.48,,,,,,
continent,695,2,52.34,17.14,,,,,,
translation,696,2,53.05,20.2,,,,,,
computation,697,2,52.31,17.02,,,,,,
diplomatic,698,2,51.35,13.64,,,,,,
advisory,699,2,52.4,17.39,,,,,,
battery,700,2,53.19,20.85,,,,,,
modification,701,2,53.08,20.33,,,,,,
convey,702,2,53.2,20.9,,,,,,
customize,703,2,52.69,18.58,,,,,,
ingredient,704,2,53.36,21.7,,,,,,
formerly,705,2,53.26,21.2,,,,,,
optimization,706,2,51.9,15.49,,,,,,
ton,707,2,53.07,20.29,,,,,,
recycle,708,2,53.21,20.95,,,,,,
spectrum,709,2,53.05,20.18,,,,,,
tuple,710,2,49.76,9.47,,,,,,
magnitude,711,2,52.74,18.77,,,,,,
theft,712,2,53.12,20.49,,,,,,
quit,713,2,52.83,19.19,,,,,,
validity,714,2,52.86,19.33,,,,,,
interact,715,2,52.98,19.88,,,,,,
gallon,716,2,52.93,19.65,,,,,,
considerably,717,2,53.14,20.58,,,,,,
intervene,718,2,53.02,20.04,,,,,,
repertoire,719,2,48.26,6.7,,,,,,
halt,720,2,52.61,18.25,,,,,,
niche,721,2,53.24,21.08,,,,,,
shed,722,2,52.89,19.44,,,,,,
motive,723,2,53.2,20.91,,,,,,
whereby,724,2,53.09,20.36,,,,,,
median,725,2,52.92,19.57,,,,,,
wholly,726,2,53.17,20.73,,,,,,
supposedly,727,2,52.08,16.16,,,,,,
crude,728,2,53.08,20.35,,,,,,
commissioner,729,2,52.26,16.84,,,,,,
sufficiently,730,2,53.08,20.3,,,,,,
protocol,731,2,52.94,19.7,,,,,,
constrain,732,2,53.21,20.95,,,,,,
installation,733,2,53.06,20.23,,,,,,
publicity,734,2,52.87,19.36,,,,,,
blank,735,2,52.59,18.14,,,,,,
embed,736,2,52.73,18.75,,,,,,
legislature,737,2,52.27,16.86,,,,,,
steer,738,2,53.15,20.66,,,,,,
beneficial,739,2,52.97,19.81,,,,,,
punish,740,2,52.69,18.57,,,,,,
predictable,741,2,53.2,20.88,,,,,,
liquidation,742,2,52.76,18.88,,,,,,
chaos,743,2,52.54,17.93,,,,,,
tailor,744,2,53.03,20.11,,,,,,
impairment,745,2,51.69,14.74,,,,,,
harvest,746,2,52.99,19.9,,,,,,
insert,747,2,52.97,19.83,,,,,,
residential,748,2,52.82,19.14,,,,,,
electrical,749,2,53.05,20.19,,,,,,
fluctuate,750,2,52.63,18.31,,,,,,
migrant,751,2,51.2,13.17,,,,,,
objection,752,2,52.76,18.88,,,,,,
macroeconomics,753,2,51.65,14.63,,,,,,
accommodate,754,2,53.13,20.55,,,,,,
preliminary,755,2,53.07,20.27,,,,,,
refund,756,2,52.56,18.03,,,,,,
accrual,757,2,52.32,17.05,,,,,,
confront,758,2,52.97,19.8,,,,,,
punishment,759,2,52.96,19.78,,,,,,
passive,760,2,52.73,18.73,,,,,,
conditional,761,2,52.64,18.38,,,,,,
orientation,762,2,52.48,17.7,,,,,,
dispose,763,2,52.93,19.62,,,,,,
scrutiny,764,2,52.78,18.99,,,,,,
accordingly,765,2,52.87,19.35,,,,,,
exile,766,2,50.67,11.66,,,,,,
prescribe,767,2,52.91,19.54,,,,,,
inherent,768,2,52.73,18.74,,,,,,
explicitly,769,2,53.01,20.02,,,,,,
clever,770,2,52.28,16.89,,,,,,
steadily,771,2,52.99,19.9,,,,,,
payback,772,2,51.48,14.04,,,,,,
sacrifice,773,2,53.05,20.17,,,,,,
semi,774,2,52.97,19.81,,,,,,
feasible,775,2,52.83,19.2,,,,,,
conviction,776,2,52.65,18.39,,,,,,
continuously,777,2,52.67,18.48,,,,,,
junk,778,2,53,19.97,,,,,,
leak,779,2,52.47,17.67,,,,,,
tier,780,2,52.97,19.8,,,,,,
transparency,781,2,52.77,18.92,,,,,,
inadequate,782,2,52.99,19.89,,,,,,
acre,783,2,52.94,19.68,,,,,,
levy,784,2,52.88,19.39,,,,,,
freely,785,2,52.97,19.83,,,,,,
reliance,786,2,53,19.95,,,,,,
covenant,787,2,52.62,18.29,,,,,,
officially,788,2,52.4,17.38,,,,,,
prosecute,789,2,52.49,17.75,,,,,,
materially,790,2,51.92,15.56,,,,,,
convict,791,2,51.95,15.68,,,,,,
procurement,792,2,52.75,18.85,,,,,,
clash,793,2,51.81,15.18,,,,,,
deter,794,2,52.72,18.71,,,,,,
prosecution,795,2,52.44,17.53,,,,,,
nasty,796,2,51.45,13.96,,,,,,
condemn,797,2,51.86,15.35,,,,,,
frustrate,798,2,52.74,18.78,,,,,,
operative,799,2,51.98,15.77,,,,,,
privatize,800,2,52.29,16.96,,,,,,
endure,801,2,52.45,17.56,,,,,,
doctrine,802,2,52.84,19.22,,,,,,
distort,803,2,52.9,19.49,,,,,,
triple,804,2,52.77,18.94,,,,,,
textile,805,2,52.67,18.51,,,,,,
dislike,806,2,52.33,17.11,,,,,,
manipulate,807,2,52.95,19.72,,,,,,
unity,808,2,52.45,17.58,,,,,,
alpha,809,2,51.37,13.72,,,,,,
refine,810,2,52.92,19.6,,,,,,
implicit,811,2,52.78,18.98,,,,,,
deflation,812,2,52.4,17.39,,,,,,
antitrust,813,2,52.67,18.49,,,,,,
practitioner,814,2,52.67,18.51,,,,,,
prosperity,815,2,52.59,18.16,,,,,,
riot,816,2,51.39,13.79,,,,,,
cater,817,2,52.16,16.44,,,,,,
container,818,2,52.89,19.44,,,,,,
drill,819,2,52.87,19.38,,,,,,
align,820,2,52.43,17.5,,,,,,
reinvest,821,2,51.97,15.76,,,,,,
remainder,822,2,52.62,18.29,,,,,,
provincial,823,2,51.86,15.34,,,,,,
puzzle,824,2,52.79,18.99,,,,,,
alert,825,2,52.65,18.39,,,,,,
concede,826,2,51.89,15.46,,,,,,
advertiser,827,2,52.89,19.46,,,,,,
planner,828,2,52.84,19.24,,,,,,
alike,829,2,52.75,18.82,,,,,,
controversy,830,2,52.78,18.98,,,,,,
unusually,831,2,52.18,16.51,,,,,,
fierce,832,2,51.71,14.83,,,,,,
veto,833,2,51.7,14.78,,,,,,
instant,834,2,52.88,19.42,,,,,,
ceasefire,835,2,50,10,,,,,,
handset,836,2,51.69,14.75,,,,,,
sentiment,837,2,52.33,17.12,,,,,,
vest,838,2,52.74,18.79,,,,,,
beef,839,2,52.72,18.7,,,,,,
economically,840,2,52.83,19.2,,,,,,
combat,841,2,52.56,18.05,,,,,,
parity,842,2,52.47,17.66,,,,,,
notify,843,2,52.38,17.31,,,,,,
centralize,844,2,52.83,19.2,,,,,,
sovereign,845,2,52.64,18.36,,,,,,
estimation,846,2,51.82,15.22,,,,,,
clarify,847,2,52.7,18.63,,,,,,
basket,848,2,52.64,18.35,,,,,,
lucrative,849,2,52.36,17.21,,,,,,
stabilize,850,2,52.77,18.93,,,,,,
repeatedly,851,2,52.45,17.56,,,,,,
molecule,852,2,51.78,15.05,,,,,,
variability,853,2,51.66,14.65,,,,,,
strive,854,2,52.74,18.8,,,,,,
cure,855,2,52.67,18.5,,,,,,
creativity,856,2,52.48,17.72,,,,,,
bribe,857,2,51.81,15.16,,,,,,
evident,858,2,52.8,19.05,,,,,,
caution,859,2,52.74,18.78,,,,,,
reservation,860,2,52.46,17.61,,,,,,
militia,861,2,49.2,8.32,,,,,,
wisdom,862,2,52.62,18.27,,,,,,
enact,863,2,52.61,18.24,,,,,,
controller,864,2,52.58,18.12,,,,,,
bankrupt,865,2,52.69,18.58,,,,,,
shield,866,2,52.39,17.34,,,,,,
pact,867,2,50.91,12.32,,,,,,
discretion,868,2,52.6,18.22,,,,,,
cautious,869,2,52.47,17.66,,,,,,
supervision,870,2,52.66,18.43,,,,,,
leisure,871,2,52.22,16.68,,,,,,
dictate,872,2,52.72,18.71,,,,,,
purely,873,2,52.66,18.46,,,,,,
substitution,874,2,51.96,15.71,,,,,,
pursuit,875,2,52.61,18.24,,,,,,
minimal,876,2,52.54,17.97,,,,,,
eager,877,2,52.11,16.25,,,,,,
seasonal,878,2,52.47,17.65,,,,,,
vector,879,2,51.56,14.32,,,,,,
institute,880,2,52.68,18.56,,,,,,
endowment,881,2,52.61,18.22,,,,,,
suburb,882,2,51.18,13.13,,,,,,
disability,883,2,52.09,16.18,,,,,,
governmental,884,2,52.53,17.92,,,,,,
inefficient,885,2,52.7,18.62,,,,,,
partially,886,2,52.58,18.12,,,,,,
competence,887,2,52.58,18.11,,,,,,
closure,888,2,52.42,17.47,,,,,,
slash,889,2,52.09,16.2,,,,,,
overlook,890,2,52.64,18.38,,,,,,
logistics,891,2,52.33,17.11,,,,,,
scarce,892,2,52.62,18.28,,,,,,
fleet,893,2,52.49,17.75,,,,,,
restraint,894,2,52.11,16.27,,,,,,
follower,895,2,52.38,17.31,,,,,,
torture,896,2,50.24,10.56,,,,,,
crunch,897,2,51.84,15.28,,,,,,
certify,898,2,52.4,17.36,,,,,,
receiver,899,2,52.37,17.27,,,,,,
collaboration,900,2,52.59,18.14,,,,,,
logo,901,2,52.16,16.43,,,,,,
overlap,902,2,52.61,18.23,,,,,,
resume,903,2,52.17,16.48,,,,,,
encyclopedia,904,2,50.27,10.65,,,,,,
lump,905,2,52.49,17.74,,,,,,
momentum,906,2,52.42,17.44,,,,,,
probe,907,2,52.51,17.84,,,,,,
aversion,908,2,51.63,14.57,,,,,,
reconcile,909,2,52.53,17.92,,,,,,
indirectly,910,2,52.54,17.94,,,,,,
mandatory,911,2,52.52,17.87,,,,,,
yuan,912,2,51.51,14.15,,,,,,
namely,913,2,52.42,17.46,,,,,,
liberty,914,2,51.85,15.31,,,,,,
temporarily,915,2,52.56,18.02,,,,,,
decent,916,2,52.02,15.91,,,,,,
reassure,917,2,51.81,15.17,,,,,,
appetite,918,2,52.02,15.93,,,,,,
tobacco,919,2,52.44,17.53,,,,,,
unpopular,920,2,51.23,13.27,,,,,,
confine,921,2,52.31,17.02,,,,,,
consultation,922,2,52.14,16.37,,,,,,
quantify,923,2,52.16,16.45,,,,,,
recruitment,924,2,51.97,15.75,,,,,,
ceiling,925,2,52.46,17.64,,,,,,
persist,926,2,52.44,17.53,,,,,,
gauge,927,2,52.46,17.61,,,,,,
plug,928,2,52.29,16.96,,,,,,
corn,929,2,52.26,16.83,,,,,,
skeptical,930,2,51.8,15.13,,,,,,
legislative,931,2,52.41,17.42,,,,,,
independently,932,2,52.37,17.25,,,,,,
junior,933,2,52.3,16.99,,,,,,
negligence,934,2,51.72,14.85,,,,,,
architect,935,2,52.16,16.45,,,,,,
determinant,936,2,52.01,15.89,,,,,,
redeem,937,2,51.97,15.74,,,,,,
tribunal,938,2,51.4,13.79,,,,,,
probable,939,2,52.35,17.2,,,,,,
chunk,940,2,51.72,14.86,,,,,,
proprietary,941,2,52.02,15.92,,,,,,
icon,942,2,51.96,15.7,,,,,,
intermediate,943,2,52.13,16.31,,,,,,
steep,944,2,52.44,17.55,,,,,,
conform,945,2,52.15,16.42,,,,,,
acid,946,2,52.21,16.64,,,,,,
safeguard,947,2,52.37,17.26,,,,,,
loom,948,2,51.44,13.95,,,,,,
uranium,949,2,50.47,11.15,,,,,,
deductible,950,2,51.35,13.66,,,,,,
postpone,951,2,52.1,16.22,,,,,,
conceptual,952,2,51.71,14.83,,,,,,
assault,953,2,51.43,13.91,,,,,,
optimism,954,2,52.16,16.43,,,,,,
painful,955,2,51.54,14.27,,,,,,
ruler,956,2,50.87,12.22,,,,,,
faction,957,2,50.87,12.21,,,,,,
null,958,2,50.52,11.28,,,,,,
forge,959,2,52.17,16.47,,,,,,
freight,960,2,52.31,17.03,,,,,,
rig,961,2,51.73,14.89,,,,,,
accountable,962,2,52.39,17.33,,,,,,
super,963,2,52.23,16.7,,,,,,
abolish,964,2,51.7,14.81,,,,,,
predetermine,965,2,51.48,14.06,,,,,,
inherit,966,2,52.08,16.16,,,,,,
forum,967,2,52.3,16.99,,,,,,
supervise,968,2,52.37,17.25,,,,,,
overnight,969,2,52.3,16.99,,,,,,
revision,970,2,52.24,16.75,,,,,,
analytical,971,2,51.75,14.95,,,,,,
congressional,972,2,50.72,11.81,,,,,,
spy,973,2,50.48,11.17,,,,,,
necessity,974,2,52.33,17.09,,,,,,
fiber,975,2,52.2,16.58,,,,,,
stall,976,2,51.66,14.67,,,,,,
exclusively,977,2,52.21,16.65,,,,,,
await,978,2,51.91,15.54,,,,,,
lure,979,2,51.6,14.44,,,,,,
desperate,980,2,51.28,13.42,,,,,,
populist,981,2,49.64,9.21,,,,,,
unnecessary,982,2,52.35,17.16,,,,,,
similarity,983,2,52.22,16.68,,,,,,
contemplate,984,2,52.37,17.25,,,,,,
socially,985,2,52.35,17.18,,,,,,
admission,986,2,52.23,16.72,,,,,,
raid,987,2,50.88,12.25,,,,,,
diplomacy,988,2,50.22,10.51,,,,,,
liquidate,989,2,51.83,15.24,,,,,,
lifestyle,990,2,52.28,16.89,,,,,,
rocket,991,2,51.09,12.87,,,,,,
debenture,992,2,51.39,13.78,,,,,,
collar,993,2,52.31,17.02,,,,,,
outperform,994,2,51.77,15.03,,,,,,
irrelevant,995,2,52.31,17.04,,,,,,
diamond,996,2,51.8,15.14,,,,,,
optimize,997,2,51.32,13.55,,,,,,
promotional,998,2,51.93,15.59,,,,,,
broadband,999,2,51.01,12.62,,,,,,
reactor,1000,2,51,12.6,,,,,,
traveler,1001,2,52.25,16.8,,,,,,
equality,1002,2,52.26,16.81,,,,,,
entail,1003,2,52.24,16.77,,,,,,
compile,1004,2,52.24,16.74,,,,,,
circulation,1005,2,52.12,16.28,,,,,,
petition,1006,2,52.09,16.18,,,,,,
attributable,1007,2,51.83,15.25,,,,,,
revolutionary,1008,2,51.85,15.32,,,,,,
carmaker,1009,2,49.91,9.79,,,,,,
discretionary,1010,2,52.06,16.06,,,,,,
reconciliation,1011,2,52.17,16.5,,,,,,
directive,1012,2,52.09,16.18,,,,,,
mutually,1013,2,51.89,15.47,,,,,,
viable,1014,2,52.23,16.73,,,,,,
subprime,1015,2,51.6,14.44,,,,,,
refusal,1016,2,52.06,16.05,,,,,,
outfit,1017,2,50.73,11.82,,,,,,
approximate,1018,2,51.48,14.05,,,,,,
geographic,1019,2,51.48,14.08,,,,,,
consortium,1020,2,51.6,14.46,,,,,,
speculative,1021,2,52.17,16.46,,,,,,
policeman,1022,2,50.32,10.77,,,,,,
historically,1023,2,52.19,16.55,,,,,,
resemble,1024,2,52.02,15.93,,,,,,
amortize,1025,2,50.8,12.01,,,,,,
exploration,1026,2,52.1,16.24,,,,,,
deliberately,1027,2,52.11,16.27,,,,,,
mill,1028,2,52.16,16.43,,,,,,
loser,1029,2,51.98,15.79,,,,,,
subjective,1030,2,51.8,15.13,,,,,,
builder,1031,2,51.78,15.07,,,,,,
mainland,1032,2,50.94,12.4,,,,,,
retreat,1033,2,51.44,13.94,,,,,,
peaceful,1034,2,50.73,11.83,,,,,,
importantly,1035,2,52.14,16.37,,,,,,
backward,1036,2,52.12,16.3,,,,,,
counterparty,1037,2,51.93,15.59,,,,,,
ambassador,1038,2,50.56,11.38,,,,,,
overwhelm,1039,2,52.06,16.06,,,,,,
consistency,1040,2,51.82,15.2,,,,,,
unprecedented,1041,2,51.69,14.75,,,,,,
declaration,1042,2,52.13,16.31,,,,,,
rebate,1043,2,51.79,15.11,,,,,,
retention,1044,2,51.75,14.95,,,,,,
harsh,1045,2,51.45,13.96,,,,,,
contend,1046,2,52.05,16.03,,,,,,
covariance,1047,2,51.11,12.9,,,,,,
jointly,1048,2,52.11,16.25,,,,,,
resignation,1049,2,51.38,13.73,,,,,,
promptly,1050,2,52.11,16.25,,,,,,
removal,1051,2,52.05,16.04,,,,,,
exclusion,1052,2,51.44,13.92,,,,,,
bomber,1053,2,49.84,9.64,,,,,,
occurrence,1054,2,51.4,13.79,,,,,,
exceptional,1055,2,51.86,15.36,,,,,,
viewer,1056,2,51.82,15.21,,,,,,
spur,1057,2,51.85,15.31,,,,,,
anniversary,1058,2,51.64,14.6,,,,,,
hazard,1059,2,52.08,16.15,,,,,,
packet,1060,2,51.88,15.42,,,,,,
omit,1061,2,51.77,15.03,,,,,,
prospectus,1062,2,51.1,12.88,,,,,,
conscious,1063,2,52.06,16.05,,,,,,
robot,1064,2,51.93,15.6,,,,,,
placement,1065,2,51.83,15.26,,,,,,
desktop,1066,2,51.72,14.85,,,,,,
telecommunication,1067,2,51.93,15.58,,,,,,
buffer,1068,2,51.78,15.06,,,,,,
attain,1069,2,51.76,15.01,,,,,,
infect,1070,2,51.02,12.64,,,,,,
formulate,1071,2,51.8,15.12,,,,,,
socialist,1072,2,51.55,14.3,,,,,,
browser,1073,2,51.09,12.85,,,,,,
cyclical,1074,2,52,15.85,,,,,,
exaggerate,1075,2,51.39,13.76,,,,,,
likewise,1076,2,52.05,16.04,,,,,,
cartel,1077,2,51.77,15.04,,,,,,
triumph,1078,2,50.47,11.13,,,,,,
rationale,1079,2,51.89,15.45,,,,,,
processor,1080,2,51.83,15.24,,,,,,
divert,1081,2,51.87,15.39,,,,,,
delegation,1082,2,51.86,15.34,,,,,,
arguably,1083,2,51.55,14.3,,,,,,
ordinate,1084,2,51.41,13.84,,,,,,
casualty,1085,2,51.66,14.67,,,,,,
verdict,1086,2,51.27,13.41,,,,,,
dot,1087,2,52.02,15.92,,,,,,
distinctive,1088,2,51.96,15.71,,,,,,
inflationary,1089,2,51.97,15.74,,,,,,
salesperson,1090,2,51.02,12.65,,,,,,
tort,1091,2,50.9,12.31,,,,,,
positively,1092,2,51.85,15.31,,,,,,
unlimited,1093,2,51.8,15.15,,,,,,
inflate,1094,2,51.76,15.01,,,,,,
constituency,1095,2,51.44,13.92,,,,,,
mineral,1096,2,51.91,15.53,,,,,,
explosion,1097,2,51.62,14.54,,,,,,
liberalization,1098,2,51.23,13.29,,,,,,
buyout,1099,2,51.72,14.86,,,,,,
separation,1100,2,51.91,15.53,,,,,,
memo,1101,2,51.92,15.54,,,,,,
dissolve,1102,2,51.84,15.27,,,,,,
donation,1103,2,51.75,14.97,,,,,,
remarkably,1104,2,51.36,13.67,,,,,,
internationally,1105,2,51.96,15.69,,,,,,
spark,1106,2,51.39,13.77,,,,,,
migration,1107,2,51.27,13.4,,,,,,
retrieve,1108,2,51.59,14.43,,,,,,
individually,1109,2,51.74,14.94,,,,,,
circuit,1110,2,51.96,15.69,,,,,,
dip,1111,2,51.7,14.79,,,,,,
certification,1112,2,51.44,13.92,,,,,,
slogan,1113,2,51.6,14.46,,,,,,
competitiveness,1114,2,51.85,15.31,,,,,,
inclusion,1115,2,51.62,14.51,,,,,,
copper,1116,2,51.62,14.51,,,,,,
poison,1117,2,51.36,13.68,,,,,,
justification,1118,2,51.92,15.57,,,,,,
outright,1119,2,51.69,14.75,,,,,,
stance,1120,2,51.54,14.26,,,,,,
fringe,1121,2,51.93,15.59,,,,,,
bitter,1122,2,50.76,11.92,,,,,,
wheat,1123,2,51.82,15.21,,,,,,
hostility,1124,2,50.77,11.94,,,,,,
enlargement,1125,2,50.65,11.62,,,,,,
hub,1126,2,51.5,14.12,,,,,,
trim,1127,2,51.64,14.59,,,,,,
lesser,1128,2,51.89,15.45,,,,,,
republic,1129,2,50.55,11.36,,,,,,
forthcoming,1130,2,51.65,14.62,,,,,,
accessible,1131,2,51.83,15.24,,,,,,
deteriorate,1132,2,51.86,15.34,,,,,,
denounce,1133,2,50.03,10.07,,,,,,
artificial,1134,2,51.85,15.31,,,,,,
trait,1135,2,51.61,14.48,,,,,,
workshop,1136,2,51.3,13.49,,,,,,
protester,1137,2,49.05,8.03,,,,,,
portray,1138,2,51.47,14.04,,,,,,
echo,1139,2,51.08,12.82,,,,,,
haul,1140,2,51.6,14.47,,,,,,
financially,1141,2,51.74,14.93,,,,,,
maximization,1142,2,50.7,11.75,,,,,,
bureaucrat,1143,2,50.31,10.74,,,,,,
afterward,1144,2,51.39,13.76,,,,,,
competency,1145,2,50.82,12.09,,,,,,
directory,1146,2,51.63,14.56,,,,,,
spouse,1147,2,51.48,14.07,,,,,,
dissolution,1148,2,50.76,11.92,,,,,,
distortion,1149,2,51.74,14.91,,,,,,
continually,1150,2,51.59,14.41,,,,,,
coordination,1151,2,51.18,13.12,,,,,,
subscribe,1152,2,51.4,13.8,,,,,,
renewal,1153,2,51.39,13.77,,,,,,
awkward,1154,2,50.72,11.81,,,,,,
slack,1155,2,51.48,14.05,,,,,,
celebrity,1156,2,51.08,12.82,,,,,,
drift,1157,2,51.64,14.59,,,,,,
vaccine,1158,2,50.4,10.97,,,,,,
insufficient,1159,2,51.64,14.6,,,,,,
particle,1160,2,51.17,13.1,,,,,,
flavor,1161,2,51.78,15.06,,,,,,
emergence,1162,2,51.71,14.84,,,,,,
interference,1163,3,51.66,14.66,,,,,,
indifference,1164,3,51.04,12.71,,,,,,
geographical,1165,3,51.66,14.64,,,,,,
voucher,1166,3,51.57,14.37,,,,,,
encompass,1167,3,51.62,14.52,,,,,,
proportional,1168,3,51.61,14.5,,,,,,
seminar,1169,3,51.29,13.45,,,,,,
uncover,1170,3,51.68,14.72,,,,,,
petty,1171,3,51.1,12.89,,,,,,
convergence,1172,3,51.71,14.81,,,,,,
worsen,1173,3,51.32,13.56,,,,,,
rejection,1174,3,51.72,14.86,,,,,,
reorganization,1175,3,51.56,14.32,,,,,,
mitigate,1176,3,51.32,13.55,,,,,,
successive,1177,3,51.68,14.71,,,,,,
blend,1178,3,51.66,14.65,,,,,,
performer,1179,3,51.65,14.63,,,,,,
simplicity,1180,3,51.62,14.51,,,,,,
static,1181,3,51.44,13.93,,,,,,
deregulation,1182,3,51.4,13.8,,,,,,
computerize,1183,3,51.35,13.65,,,,,,
succession,1184,3,51.45,13.97,,,,,,
royalty,1185,3,51.69,14.74,,,,,,
classroom,1186,3,51.6,14.45,,,,,,
spectacular,1187,3,51.17,13.09,,,,,,
macro,1188,3,51.03,12.66,,,,,,
flourish,1189,3,51.01,12.62,,,,,,
insurgent,1190,3,48.33,6.8,,,,,,
script,1191,3,51.6,14.44,,,,,,
relevance,1192,3,51.46,13.98,,,,,,
complement,1193,3,51.59,14.42,,,,,,
oral,1194,3,51.41,13.84,,,,,,
setup,1195,3,50.42,11.01,,,,,,
notable,1196,3,51.54,14.26,,,,,,
tranche,1197,3,51.4,13.81,,,,,,
numerical,1198,3,51.21,13.23,,,,,,
policymaker,1199,3,50.43,11.04,,,,,,
technically,1200,3,51.68,14.71,,,,,,
organ,1201,3,51.6,14.46,,,,,,
cheat,1202,3,51.53,14.21,,,,,,
utilization,1203,3,50.98,12.53,,,,,,
tumble,1204,3,50.92,12.37,,,,,,
baseline,1205,3,50.6,11.48,,,,,,
template,1206,3,50.59,11.46,,,,,,
cheer,1207,3,50.45,11.09,,,,,,
dependence,1208,3,51.66,14.66,,,,,,
instability,1209,3,51.57,14.35,,,,,,
obituary,1210,3,48.81,7.61,,,,,,
ray,1211,3,51.41,13.83,,,,,,
peso,1212,3,51.23,13.28,,,,,,
denominate,1213,3,51.25,13.35,,,,,,
shortfall,1214,3,51.62,14.52,,,,,,
durable,1215,3,51.42,13.86,,,,,,
countryside,1216,3,50.38,10.91,,,,,,
originate,1217,3,51.51,14.14,,,,,,
bureaucratic,1218,3,51.33,13.59,,,,,,
periodically,1219,3,51.15,13.02,,,,,,
campus,1220,3,51.26,13.36,,,,,,
stochastic,1221,3,50.54,11.32,,,,,,
kidnap,1222,3,49.38,8.67,,,,,,
prevention,1223,3,51.52,14.19,,,,,,
redundancy,1224,3,49.87,9.7,,,,,,
dictator,1225,3,49.63,9.18,,,,,,
dual,1226,3,51.62,14.52,,,,,,
brick,1227,3,51.6,14.45,,,,,,
internally,1228,3,51.49,14.08,,,,,,
unhappy,1229,3,51.09,12.86,,,,,,
erode,1230,3,51.51,14.14,,,,,,
refinance,1231,3,51.08,12.83,,,,,,
tribal,1232,3,49.36,8.63,,,,,,
empower,1233,3,51.46,14,,,,,,
oversight,1234,3,51.4,13.79,,,,,,
transparent,1235,3,51.37,13.72,,,,,,
predictor,1236,3,50.55,11.36,,,,,,
interfere,1237,3,51.56,14.31,,,,,,
dominance,1238,3,51.54,14.27,,,,,,
segmentation,1239,3,50.92,12.35,,,,,,
hugely,1240,3,50.23,10.54,,,,,,
arbitrary,1241,3,51.56,14.32,,,,,,
seemingly,1242,3,51.38,13.75,,,,,,
integral,1243,3,51.3,13.49,,,,,,
wholesaler,1244,3,51.23,13.26,,,,,,
renewable,1245,3,51.35,13.65,,,,,,
bilateral,1246,3,50.93,12.38,,,,,,
visa,1247,3,50.46,11.12,,,,,,
disagreement,1248,3,51.45,13.96,,,,,,
cotton,1249,3,51.36,13.68,,,,,,
intensity,1250,3,51.57,14.35,,,,,,
routinely,1251,3,51.24,13.32,,,,,,
displace,1252,3,51.23,13.27,,,,,,
immune,1253,3,51.19,13.15,,,,,,
obscure,1254,3,51.16,13.07,,,,,,
mobility,1255,3,51.54,14.25,,,,,,
dilute,1256,3,51.49,14.11,,,,,,
precedent,1257,3,51.37,13.71,,,,,,
elaborate,1258,3,51.56,14.33,,,,,,
reprint,1259,3,51.4,13.79,,,,,,
bull,1260,3,51.37,13.7,,,,,,
