abdominal,abdominals
absorb,absorbs,absorbed,absorbing
absorption,absorptions
accelerate,accelerates,accelerated,accelerating
acceleration,accelerations
accent,accents,accented,accenting
accumulate,accumulates,accumulated,accumulating
accumulation,accumulations
accuracy,accuracies
accurately
acid,acids
acidic,acidics
activate,activates,activated,activating
actively
acute,acutest
adaptation,adaptations
adaptive,adaptives
adjacent,adjacents
admission,admissions
adolescent,adolescents
adverse
aerosol,aerosols
aesthetic,aesthetics,esthetic,esthetics
affirm,affirms,affirmed,affirming
afterward,afterwards
aggregate,aggregates,aggregated,aggregating
agriculture,agricultures
airplane,airplanes,aeroplane,aeroplanes
algebra,algebras
algorithm,algorithms
alien,aliens
alliance,alliances
allocate,allocates,allocated,allocating
allocation,allocations
altitude,altitudes
aluminum,aluminium
amino
amongst
amplitude,amplitudes
analogy,analogies
ancestor,ancestors
anthropology,anthropologies
anti,antis
antibiotic,antibiotics
antibody,antibodies
antiquity,antiquities
appendix,appendices,appendixes
applause
apple,apples
approximate,approximates,approximated,approximating
approximation,approximations
arbitrary
archaeology,archaeologies
architect,architects,architected,architecting
array,arrays,arrayed,arraying
arrow,arrows,arrowed,arrowing
articulate,articulates,articulated,articulating
artifact,artifacts,artefact,artefacts
artificial,artificials
artistic,artistics
artwork,artworks
aspect,aspects
assembly,assemblies
assert,asserts,asserted,asserting
assignment,assignments
athletic,athletics
atom,atoms
atomic,atomics
auction,auctions,auctioned,auctioning
audio
audit,audits,audited,auditing
authority,authorities
autonomy,autonomies
availability,availabilities
axiom,axioms
axis
backward,backwards
bacteria
bacterial,bacterials
bang,bangs,banged,banging
bargain,bargains,bargained,bargaining
barrel,barrels,barrelled,barrelling,barreled,barreling
basin,basins,basined
bat,bats,batted,batting,battings
beam,beams,beamed,beaming
behavioral,behavioural
bilingual,bilinguals
binary,binarys,binaries
biodiversity
biologist,biologists
biology,biologies
bizarre
blank,blanks,blanked,blanking,blanker
bleed,bleeds,bled,bleeding,bleedin
bodily
bonus,bonuses
bound,bounds,bounded,bounding
bracket,brackets,bracketed,bracketted
breakdown,breakdowns
broadly
bubble,bubbles,bubbled,bubbling
bucket,buckets
bulk,bulks,bulked,bulking
bullet,bullets
bundle,bundles,bundled,bundling
calcium
calculation,calculations
calculator,calculators
calculus
campus,campuses
capillary,capillaries
capitalism,capitalisms
capitalist,capitalists
carrier,carriers
cattle
censor,censors,censored,censoring,censorings
characterization,characterizations,characterisation,characterisations
cheat,cheats,cheated,cheating,cheatings
cheer,cheers,cheered,cheering
chemistry,chemistries
chemotherapy,chemotherapies
chess
chloride,chlorides
chromosome,chromosomes
chronic,chronics
chunk,chunks,chunked,chunking
cinema,cinemas
circa
circulate,circulates,circulated,circulating
circulation,circulations
civilization,civilizations,civilisation,civilisations
clarify,clarifies,clarified,clarifying
classification,classifications
classify,classifies,classified,classifying
classroom,classrooms
clay,clays
clever,cleverer,cleverest
client,clients
clinic,clinics
clip,clips,clipped,clipping,clippings
clone,clones,cloned,cloning
closure,closures
clue,clues,clued,cluing
coefficient,coefficients
cognitive
coherent
collective,collectives
colonial,colonials
colony,colonies
comma,commas
commentary,commentaries
commodity,commodities
commonly
communicative
communist,communists
compact,compacts,compacted,compacting,compacter
comparable,comparables
comparative,comparatives
compensate,compensates,compensated,compensating
competence,competences
competent
complement,complements,complemented,complementing
complication,complications
comply,complies,complied,complying
composer,composers
composite
comprehension
computation,computations
conceive,conceives,conceived,conceiving
conception,conceptions
conceptual,conceptuals
conditional,conditionals
conduction
cone,cones
configuration,configurations
confine,confines,confined,confining
confound,confounds,confounded,confounding
congruent
connector,connectors
connotation,connotations
conscious
consciousness,consciousnesses
consensus
consent,consents,consented,consenting
